album_id,artist_id,title,release_year,genre,total_tracks
1,1,Under Golden Spectra,2012,Rock,12
2,2,Currents of Signals,2020,Electronic,9
3,3,Under Weightless Archives,2005,R&B,10
4,4,The Hollow Pulses EP,2014,Metal,14
5,5,Mirrors of Echoes,2000,Rock,16
6,6,Restless (Deluxe),2020,R&B,12
7,7,Undertones of Signals,1995,R&B,10
8,8,Under Velvet Vaults,2022,Country,8
9,9,Drifting,2023,Pop,13
10,10,Fragments & Ruins,2021,R&B,9
11,11,Blinding Shadows Revisited,2019,Rock,8
12,12,The Vanished Margins,2004,Hip-Hop,9
13,13,Velvet,2015,Classical,15
14,14,Neon Ruins Sessions,2021,Country,17
15,15,Restless Ruins (Deluxe),2020,Pop,17
16,16,Under Burning Circuits,2015,Metal,9
17,17,Under Scattered Currents,2005,R&B,10
18,18,Restless Bridges (Deluxe),2019,Jazz,15
19,19,Bridges of Tides,2018,R&B,9
20,20,Wavelengths & Ruins,2020,Electronic,14
21,21,Undertones of Embers,2021,R&B,12
22,22,Under Drifting Overtones,2012,Hip-Hop,9
23,23,Burning Vol. I,1997,Metal,14
24,24,Static,2019,Jazz,10
25,25,The Shattered Fragments,1995,Hip-Hop,10
26,26,Orbits & Mirrors,2021,Electronic,11
27,27,Golden Reverb Vol. I,2017,Country,11
28,28,The Hollow Pulses,2017,Classical,11
29,29,Bridges & Orbits,2021,Metal,7
30,30,Horizons of Reverb,2023,Country,7
31,31,Intervals & Mirrors,2019,Metal,15
32,32,The Shattered Signals (Deluxe),2024,Electronic,12
33,33,Vaults & Flickers,2023,Rock,8
34,34,Blinding EP,2022,Hip-Hop,13
35,35,Resonance of Embers,2016,Classical,14
36,36,Undertones of Intervals,2024,Classical,15
37,37,Burning Thresholds EP,2021,Pop,9
38,38,Shadows & Spectra,2020,Folk,16
39,39,Hollow Resonance EP,2015,Classical,8
40,40,Under Vanished Signals,2000,Metal,7
41,41,Dissonance & Drifts,2010,Classical,14
42,42,Static Embers Sessions,2016,Jazz,13
43,43,Burning Thresholds,2018,Classical,12
44,44,The Burning Vaults (Deluxe),2020,Jazz,9
45,45,Vanished Thresholds Revisited,2022,Pop,14
46,46,Margins & Tides,2016,Country,8
47,47,Resonance & Tides,2018,Rock,15
48,48,The Muted Shadows,2008,Electronic,9
49,49,Flickers & Shadows,2012,Folk,9
50,50,Distant Spectra (Deluxe),1996,Jazz,13
51,51,Vaults & Bridges,2021,Country,7
52,52,The Blinding Reverb Revisited,2023,Country,6
53,53,Overtones & Orbits,2019,Rock,13
54,54,Fading,2013,Classical,8
55,55,Dissonance of Frequencies,2007,Jazz,11
56,56,The Vanished Orbits EP,2004,Metal,14
57,57,Mirrors of Resonance,2018,Electronic,9
58,58,Pale Thresholds Revisited,2024,Electronic,10
59,59,Under Endless Contours,2024,Metal,4
60,60,The Silent Thresholds Vol. I,2009,Country,17
61,61,Embers & Spectra,2024,Rock,12
62,62,Hollow Wavelengths Revisited,2024,Folk,14
63,63,Under Blinding Spectra,1999,Jazz,11
64,64,The Crimson Shadows,2007,Pop,10
65,65,Glowing Revisited,2023,R&B,10
66,66,Silent Margins,2007,Country,11
67,67,Silent EP,2003,Pop,8
68,68,Broken Drifts,2017,Metal,8
69,69,Archives of Fragments,2021,Country,11
70,70,The Pale Overtones,2016,Pop,11
71,71,Under Silent Vaults,2008,Electronic,8
72,72,Echoes & Contours,2022,Folk,12
73,73,Spectra of Bridges,2015,Country,12
74,74,Vaults of Contours,2023,Rock,16
75,75,Frozen Reverb Revisited,2019,Hip-Hop,7
76,76,Under Restless Flickers,2019,R&B,13
77,77,Broken,2007,Folk,14
78,78,The Blinding Contours (Deluxe),2002,Electronic,8
79,79,The Pale Dissonance,2023,Metal,3
80,80,Vanished Vaults Vol. II,2012,Country,9
81,81,Under Broken Orbits,2005,Rock,13
82,82,Embers & Fragments,2015,Metal,9
83,83,Scattered Dissonance Vol. I,2020,Classical,10
84,84,Under Weightless Resonance,2022,Electronic,9
85,85,Golden Orbits Revisited,2015,R&B,6
86,86,Under Hollow Dissonance,2005,Folk,9
87,87,The Blinding Archives Revisited,2012,Classical,8
88,88,The Shattered Embers Vol. I,2022,R&B,7
89,89,Crimson Spectra,2020,Country,10
90,90,Weightless Undertones (Deluxe),2012,Rock,12
91,91,Intervals of Flickers,2012,Pop,7
92,92,Undertones & Ruins,2022,Hip-Hop,9
93,93,Vanished Revisited,2017,Metal,9
94,94,Currents & Frequencies,2022,Electronic,13
