no,question_id,dataset,difficulty,failure_type,question,ground_truth,llm_answer,doc_name,response,context_snippet,model,prompt_strategy
1,S3_TATHYBRID_cf649b7b26933abd29572697283fbf67,tathybrid,hard,WRONG,What was the change in Accumulated amortization from 2018 to 2019?,-1073,"The answer is: 3,633",inpixon_2019,"The answer is: -3,529","December 31,
 
 
December 31,
 
 
 
2019
 
 
2018
 
 
2019
 
 
2018
 
Trade Name/Trademarks
 
$
780
 
 
$
780
 
 
$
(724
)
 
$
(574
)
Customer Relationships
 
 
4,070
 
 
 
2,620
 
 
 
(2,574
)
 
 
(2,318
)
Developed Technology
 
 
21,422
 
 
 
15,871
 
 
 
(14,996
)
 
 
(11,873
)
Non-compete Agreem",mistral-small-2603,simple
2,S3_TATHYBRID_f14766d60aaa9fc5ad134af01d563db4,tathybrid,hard,REFUSED,What was the amount in escrow as restricted cash at 2019 and 2018 respectively?,"72,000, 140,000","[Assistant]: The provided text does not contain information regarding the amount in escrow as restricted cash for 2019 and 2018.

The answer is: Not mentioned",inpixon_2019,The answer is: Not available,"31, 2018 was $29.0 million. During the year ended December 31, 2019, the Company received incoming cash flows of $20.7 million from the issuance of common stock, preferred stock and warrants,
$1.8 million of repayments from a related party note, $7.5 million from promissory notes and $127,000 of net",mistral-small-2603,simple
3,S3_TATHYBRID_4a97a3a079b9d171bb3e3c05a5d558fa,tathybrid,hard,WRONG,What was the Compensation and related benefits in 2019 and 2018 respectively?,"$3,247, $949","The answer is: 2019: $3,489,000; 2018: $1,494,000",inpixon_2019,"The answer is: 3,489 and 1,494","became CEO in September 2011. Mr. Ali’s salary under the agreement was initially $240,000 per annum plus other benefits including a bonus plan, a housing allowance, health insurance, life insurance
and other standard Inpixon employee benefits. If Mr. Ali’s employment is terminated without Cause (as ",mistral-small-2603,simple
4,S3_TATHYBRID_f3f36466e3595177dee05fd432122387,tathybrid,hard,REFUSED,What is the value of real estate taxes in 2018?,398,"The provided report does not contain information regarding the value of real estate taxes for 2018.

The answer is: Not available",lifeway-foods-inc_2019,The context does not explicitly provide a value for real estate taxes in 2018,"Selling expenses      11,062        13,477    
General and administrative      12,828        13,616    
Goodwill and intangible asset impairment      –       1,244    
Amortization expense      192       631   
Total operating expenses      24,082        28,968    
                  
Loss from opera",mistral-small-2603,simple
5,S3_TATHYBRID_75006d911eb541bafc8bfdfe43399b83,tathybrid,hard,REFUSED,What is the average real estate taxes for 2018 and 2019?,398,"The provided report does not contain information regarding real estate taxes for 2018 and 2019.

The answer is: Not available",lifeway-foods-inc_2019,"The answer is: 4,234","2019      2018    
Current assets                  
Cash and cash equivalents    $ 3,836      $ 2,998    
Accounts receivable, net of allowance for doubtful accounts and discounts & 
allowances of $1,100 and $1,220 at December 31, 2019 and 2018, 
respectively      6,692        6,276    
Inventories,",mistral-small-2603,simple
6,S3_TATHYBRID_4b33b977256836fc6c3fbda16ba5844d,tathybrid,hard,REFUSED,What is the change in payroll and incentive compensation between 2018 and 2019?,1072,"The provided report does not contain a specific line item for total ""payroll"" or a consolidated figure for ""incentive compensation"" that allows for a direct calculation of the change between 2018 and 2019. While the report details specific stock-based compensation expenses for various plans (e.g., 2017 Plan, 2019 Plan, Retention Award), it does not provide the total payroll or aggregate incentive compensation figures.

The answer is: Not available",lifeway-foods-inc_2019,"The change in stock-based incentive compensation between 2018 and 2019 is $109 - $47 = $62.
The answer is: 62","awards, and the provision for unrecognized tax benefits. The increase in the effective tax rate from 2018 to 2019 is 
due to the fact that the company has a number of items that are nondeductible or are discrete adjustments to tax 
expense. Although similar items were reflected in 2018, the percenta",mistral-small-2603,simple
7,S3_TATHYBRID_5b53e0ca06203f7703b6c4f8057e3c87,tathybrid,hard,WRONG,What is the percentage constitution of net sales from Frozen Kefir among the total net sales in 2019?,1.73,The answer is: 2%,lifeway-foods-inc_2019,The answer is: 2%,"20     
  
Net Sales  
  
Net sales were $93,662 for the year ended December 31, 2019, a decrease of $9,688 or 9.4% versus prior year. The 
net sales softness continued to reflect the overall lower consumption in the dairy and cultured dairy product 
categories. Versus prior year, the decline was pr",mistral-small-2603,simple
8,S3_TATHYBRID_077fac86dd9c8cd78b834fbdbe0885be,tathybrid,hard,REFUSED,What is the percentage change in ingredients between 2018 and 2019?,22.91,The answer is: Not mentioned,lifeway-foods-inc_2019,The answer is: Not available,"believe Lifeway is well positioned for long -term growth and value creation with strong industry tailwinds to fuel our 
business as we increasingly serve consumers looking for more self -care, immunity and gut health options during this 
time of global health cri sis and uncertainty.”  
  
Lifeway e",mistral-small-2603,simple
9,S3_TATHYBRID_4cb79dfe572f814f50c02a61639f2094,tathybrid,hard,REFUSED,What is the value of recipes in 2018 and 2019 respectively?,"$ 44, $ 44","The provided text does not contain information regarding the value of recipes. The financial tables provided relate to a share repurchase program.

The answer is: Not mentioned",lifeway-foods-inc_2019,The answer is: Not available,"operations could be adversely affected.  
  
One key element of our business strategy is to introduce timely, new, cost -effective, and appealing products and to 
innovate successfully within our existing product categories. New items introduced through our innovation efforts 
partially offset lower",mistral-small-2603,simple
10,S3_TATHYBRID_7622984778061cb2468425d5534a99e6,tathybrid,hard,NO ANSWER,What is the change in the value of customer relationships between 2018 and 2019?,0,,lifeway-foods-inc_2019,,"and results of operations.  
  
Customers, such as supermarkets and food distributors, cont inue to consolidate. This consolidation has produced 
larger, more sophisticated organizations with increased negotiating and buying power that are able to resist price 
increases or demand increased promotio",mistral-small-2603,simple
