question_id,sprint,dataset,doc_name,source_model,difficulty,question,ground_truth,failure_type,score,is_sprint4_hard_case,notes
S3_FINHYBRID_ADI/2009/page_49.pdf-1,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the the interest expense in 2009?,380 | 3.8,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_49.pdf-1
S3_FINHYBRID_ADI/2009/page_59.pdf-2,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the expected growth rate in amortization expense in 2010?,-27.0% | -0.26689,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_59.pdf-2
S3_FINHYBRID_ADI/2009/page_60.pdf-2,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the net difference between in amounts used to as hedging instruments?,247 | 247.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_60.pdf-2
S3_FINHYBRID_ADI/2009/page_59.pdf-1,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the growth rate in amortization expense in 2009?,-20.4% | -0.2043,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_59.pdf-1
S3_FINHYBRID_ADI/2009/page_90.pdf-2,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the net change in the balance of total amounts of uncertain tax positions from 2007 to 2009?,8272 | 8272.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_90.pdf-2
S3_FINHYBRID_ADI/2009/page_90.pdf-1,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what is the percentage increase in interest expanse and penalties in 2009?,30.8% | 0.30769,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_90.pdf-1
S3_FINHYBRID_ADI/2009/page_49.pdf-2,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,"what is the lobor rate as of october 31 , 2009?",29.0% | 0.0029,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_49.pdf-2
S3_FINHYBRID_ADI/2009/page_90.pdf-3,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what percentage did the balance increase from 2007 to 2009?,83.6% | 0.83648,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_90.pdf-3
S3_FINHYBRID_ADI/2009/page_90.pdf-4,3,finhybrid,ADI_2009,Nemotron-3-Ultra-550B,hard,what would be the balance if the company suffered the potential total tax liability of the 2006 and 2007 irs examination?,$ 17966 million | 17966.0,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ADI/2009/page_90.pdf-4
S3_FINHYBRID_ABMD/2012/page_75.pdf-1,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"during the 2012 year , did the equity awards in which the prescribed performance milestones were achieved exceed the equity award compensation expense for equity granted during the year?",yes,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_75.pdf-1
S3_FINHYBRID_ABMD/2012/page_75.pdf-2,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"for equity awards where the performance criteria has been met in 2012 , what is the average compensation expense per year over which the cost will be expensed?",1719526 | 1714285.71429,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_75.pdf-2
S3_FINHYBRID_ABMD/2012/page_75.pdf-3,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"what is the net change in the number of shares for restricted stock and restricted stock units during fiscal year ended march 31 , 2012?",464 | 464.0,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_75.pdf-3
S3_FINHYBRID_ABMD/2012/page_75.pdf-4,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"what is the total value of vested shares during the fiscal year ended march 31 , 2012 , in millions?",1.46 | 1.45792,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_75.pdf-4
S3_FINHYBRID_ABMD/2012/page_41.pdf-2,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,did abiomed outperform the nasdaq medical equipment index?,yes | yes,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_41.pdf-2
S3_FINHYBRID_ABMD/2012/page_41.pdf-1,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,did abiomed outperform the nasdaq composite index?,yes | yes,empty_response,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_41.pdf-1
S3_FINHYBRID_ABMD/2012/page_79.pdf-1,3,finhybrid,ABMD_2012,Nemotron-3-Ultra-550B,hard,"what was total rent expense for fiscal years 2010 to 2012 , in millions?",6.6 | 6.5,complete_failure,max_f1=0.000; avg_f1=0.000,YES,phases_tested=9; q_uid=ABMD/2012/page_79.pdf-1
