question,response,doc,q_uid,answers,dataset
what is the the interest expense in 2009?,"The answer is: 4,094 (in thousands)",ADI_2009,ADI/2009/page_49.pdf-1,"{'str_answer': '380', 'exe_answer': '3.8'}",fin
what is the expected growth rate in amortization expense in 2010?,,ADI_2009,ADI/2009/page_59.pdf-2,"{'str_answer': '-27.0%', 'exe_answer': '-0.26689'}",fin
what is the net difference between in amounts used to as hedging instruments?,,ADI_2009,ADI/2009/page_60.pdf-2,"{'str_answer': '247', 'exe_answer': '247.0'}",fin
what is the growth rate in amortization expense in 2009?,The answer is: -20.4%,ADI_2009,ADI/2009/page_59.pdf-1,"{'str_answer': '-20.4%', 'exe_answer': '-0.2043'}",fin
what is the net change in the balance of total amounts of uncertain tax positions from 2007 to 2009?,,ADI_2009,ADI/2009/page_90.pdf-2,"{'str_answer': '8272', 'exe_answer': '8272.0'}",fin
what is the percentage increase in interest expanse and penalties in 2009?,,ADI_2009,ADI/2009/page_90.pdf-1,"{'str_answer': '30.8%', 'exe_answer': '0.30769'}",fin
"what is the lobor rate as of october 31 , 2009?",,ADI_2009,ADI/2009/page_49.pdf-2,"{'str_answer': '29.0%', 'exe_answer': '0.0029'}",fin
what percentage did the balance increase from 2007 to 2009?,,ADI_2009,ADI/2009/page_90.pdf-3,"{'str_answer': '83.6%', 'exe_answer': '0.83648'}",fin
what would be the balance if the company suffered the potential total tax liability of the 2006 and 2007 irs examination?,,ADI_2009,ADI/2009/page_90.pdf-4,"{'str_answer': '$ 17966 million', 'exe_answer': '17966.0'}",fin
What was the weighted average remaining amortization period for the Company’s software development costs?,The answer is: 1.61 years,inpixon_2019,70567b5e026df5d365bad8f7ca96a742,"{'answer': ['1.61 years'], 'answer_type': 'span', 'scale': ''}",tat
What was the net software development costs in 2019?,"The answer is: $1,544,000",inpixon_2019,0f598bc309e0da15187f39e4881eed66,"{'answer': ['1,544'], 'answer_type': 'span', 'scale': 'thousand'}",tat
What was the Capitalized software development costs in 2019?,"The answer is: $6,029,000 (or $6,029 thousand)",inpixon_2019,b89d7e9fa3fbc7eb5dc2d6bb688f52e0,"{'answer': ['$6,029'], 'answer_type': 'span', 'scale': 'thousand'}",tat
"In which year was Capitalized software development costs less than 6,000 thousands?",The answer is: 2018,inpixon_2019,26d4df10f38152a6d72af50918480afb,"{'answer': ['2018'], 'answer_type': 'span', 'scale': ''}",tat
"What was the average Software development costs, net for 2018 and 2019?","The answer is: 1,617 (in thousands)",inpixon_2019,27fc4bb030b26d202cd8b18ba5c6993c,"{'answer': ['1617'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
What was the change in Accumulated amortization from 2018 to 2019?,,inpixon_2019,cf649b7b26933abd29572697283fbf67,"{'answer': ['-1073'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
What does cash and cash equivalents consist of?,"The answer is: cash, checking accounts, money market accounts, and temporary investments with maturities of three months or less when purchased",inpixon_2019,c97f3158996e35cf911eec06d020badc,"{'answer': ['cash, checking accounts, money market accounts and temporary investments with maturities of three months or less when purchased.'], 'answer_type': 'span', 'scale': ''}",tat
What was the amount in escrow as restricted cash at 2019 and 2018 respectively?,,inpixon_2019,f14766d60aaa9fc5ad134af01d563db4,"{'answer': ['72,000', '140,000'], 'answer_type': 'multi-span', 'scale': ''}",tat
What was the Cash and cash equivalents in 2019 and 2018 respectively?,,inpixon_2019,e250c6d151f82129e6566ebaddc73842,"{'answer': ['$4,777', '$1,008'], 'answer_type': 'multi-span', 'scale': 'thousand'}",tat
"In which year  was Restricted cash included in other assets, noncurrent less than 70 thousands?",The answer is: 2019,inpixon_2019,4c034fe335b977c2e3f2f25614ed980b,"{'answer': ['2019'], 'answer_type': 'span', 'scale': ''}",tat
What is the average Restricted cash for 2018 and 2019?,,inpixon_2019,075b7e72ffc091bf455c2538c63427fd,"{'answer': ['71'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
What was the change in the Cash and cash equivalents from 2018 to 2019?,"The answer is: $3,769",inpixon_2019,6d15a96c5f27f3b233a271e83716f239,"{'answer': ['3769'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
How does the company account for options granted to employees?,"The company accounts for options granted to employees by measuring the cost of services received based on the fair value of the award on the grant date, and recognizes that fair value as an expense ratably over the service period (vesting period).

The answer is: The company measures the cost of employee stock options based on the fair value at the grant date and recognizes the expense ratably over the vesting period.",inpixon_2019,fde5598a4f22f1775d27e488f367cdb7,"{'answer': ['by measuring the cost of services received in exchange for the award of equity instruments based upon the fair value of the award on the date of grant.'], 'answer_type': 'span', 'scale': ''}",tat
How are options and warrants granted to consultants and other non-employees recorded?,"The answer is: Options and warrants granted to consultants and other non-employees are recorded at fair value as of the grant date and subsequently adjusted to fair value at the end of each reporting period until vesting, with the fair value expensed over the related vesting period.",inpixon_2019,939d522efba6ed71641b9e171202ade1,"{'answer': ['at fair value as of the grant date and subsequently adjusted to fair value at the end of each reporting period until such options and warrants vest, and the fair value of such instruments, as adjusted, is expensed over the related vesting period.'], 'answer_type': 'span', 'scale': ''}",tat
What was the Compensation and related benefits in 2019 and 2018 respectively?,"The answer is: 2019: $3,489,000; 2018: $1,494,000",inpixon_2019,4a97a3a079b9d171bb3e3c05a5d558fa,"{'answer': ['$3,247', '$949'], 'answer_type': 'multi-span', 'scale': 'thousand'}",tat
In which year was Professional and legal fees less than 500 thousands?,The answer is: Information not available in the provided context,inpixon_2019,5a3992fcbf566781e86fa2f601ee00c0,"{'answer': ['2019'], 'answer_type': 'span', 'scale': ''}",tat
What is the change in the Compensation and related benefits from 2018 to 2019?,"The answer is: $1,995,000 increase",inpixon_2019,5054d45adbd840b3f404ea4a2066663d,"{'answer': ['2298'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
What was the average Professional and legal fees for 2018 and 2019?,,inpixon_2019,d7d2b6427fb0f566a3ac2e90d842dd06,"{'answer': ['393.5'], 'answer_type': 'arithmetic', 'scale': 'thousand'}",tat
