album_id,artist_id,title,release_year,release_date,primary_genre,secondary_genre,album_type,total_tracks,popularity_score
ALB_0001,ART_0438,Mandatory Next Generation Hierarchy,2005,2021-08-30,Rock,,Studio,14,0.09
ALB_0002,ART_0142,Forever Decide,2022,2025-07-10,Pop,,Studio,10,0.084
ALB_0003,ART_0387,Open-Architected Motivating Analyzer,2022,2024-05-29,Hip-Hop,,Live,14,0.072
ALB_0004,ART_0270,Velvet Certain,2010,2022-04-23,Jazz,Country,Studio,14,0.068
ALB_0005,ART_0581,Journey Summer,2019,2023-09-08,Indie,,Studio,12,0.134
ALB_0006,ART_0567,Storm Loss,2020,2022-11-30,Rock,,EP,14,0.076
ALB_0007,ART_0395,World Walk,2021,2024-11-11,Classical,R&B,Live,8,0.073
ALB_0008,ART_0273,Inverse Reciprocal Functionalities,2018,2021-04-17,Pop,,Studio,8,0.055
ALB_0009,ART_0300,Seamless User-Facing Framework,2022,2025-07-04,Rock,Metal,Studio,10,0.066
ALB_0010,ART_0212,World Movement,1994,2021-03-02,Classical,,Studio,10,0.068
ALB_0011,ART_0008,Public-Key Mobile Strategy,2007,2018-11-20,Electronic,,Live,10,0.069
ALB_0012,ART_0236,Light May,2020,2025-07-31,Pop,Country,Studio,12,0.081
ALB_0013,ART_0404,Multi-Layered Full-Range Service-Desk,2024,2026-04-27,R&B,,Studio,14,0.077
ALB_0014,ART_0032,Operative Optimal Function,2021,2025-09-16,Hip-Hop,R&B,Live,12,0.083
ALB_0015,ART_0197,Up-Sized System-Worthy Product,2024,2026-04-27,Classical,Indie,Studio,10,0.105
ALB_0016,ART_0187,Phased Empowering Projection,2004,2021-12-23,R&B,Metal,EP,10,0.117
ALB_0017,ART_0301,Edge Stand,2017,2023-05-15,Rock,,Live,12,0.097
ALB_0018,ART_0539,Focused Uniform Application,2018,2023-10-27,Metal,Jazz,Studio,12,0.224
ALB_0019,ART_0622,Love Conference,2018,2023-06-19,Pop,,Live,12,0.055
ALB_0020,ART_0031,Up-Sized Regional Time-Frame,2016,2025-01-17,Indie,,Studio,8,0.06
ALB_0021,ART_0045,Digitized Systemic Encryption,2024,2026-04-27,Country,Classical,Studio,10,0.055
ALB_0022,ART_0611,Total Bifurcated Core,2017,2019-06-14,Electronic,,Studio,16,0.087
ALB_0023,ART_0598,Storm Former,2021,2024-07-28,Rock,,Studio,12,0.154
ALB_0024,ART_0643,Journey Itself,2021,2025-05-22,Classical,,Studio,16,0.062
ALB_0025,ART_0045,Open-Source Motivating Time-Frame,2016,2023-03-18,Country,Classical,Live,12,0.179
ALB_0026,ART_0392,Phased User-Facing Superstructure,2022,2024-06-10,Classical,Country,Studio,14,0.056
ALB_0027,ART_0458,Devolved Multi-State Database,2007,2018-11-08,Pop,,Studio,10,0.188
ALB_0028,ART_0485,Wave Recognize,2021,2024-10-02,Electronic,Classical,Studio,10,0.066
ALB_0029,ART_0413,Multi-Tiered Foreground Conglomeration,2023,2025-10-11,Jazz,Hip-Hop,Studio,12,0.057
ALB_0030,ART_0217,Public-Key Global Moratorium,2018,2022-06-11,Metal,Pop,Live,10,0.074
ALB_0031,ART_0257,Neon Sport,2023,2026-03-09,Electronic,Indie,Studio,16,0.062
ALB_0032,ART_0397,Synergized Secondary Website,2023,2026-01-04,Country,,Studio,8,0.063
ALB_0033,ART_0373,Digital Poor,2022,2025-04-14,Electronic,R&B,Studio,16,0.064
ALB_0034,ART_0356,Fully-Configurable Even-Keeled Open Architecture,2000,2009-06-25,Classical,,Studio,8,0.114
ALB_0035,ART_0437,Storm Year,2013,2026-01-08,Rock,Jazz,Studio,12,0.077
ALB_0036,ART_0180,Innovative Zero Administration Forecast,1996,2018-01-21,Pop,,Studio,10,0.064
ALB_0037,ART_0321,Team-Oriented Tertiary Matrix,1997,2007-11-17,Country,Indie,Studio,16,0.083
ALB_0038,ART_0311,Monitored Next Generation Utilization,2017,2024-05-15,Rock,,Live,12,0.096
ALB_0039,ART_0242,World Field,2024,2026-04-27,Hip-Hop,,Studio,12,0.063
ALB_0040,ART_0133,Pulse Require,2020,2024-06-28,Electronic,,Studio,10,0.069
ALB_0041,ART_0437,Object-Based Grid-Enabled Throughput,2017,2024-12-13,Rock,Jazz,EP,14,0.058
ALB_0042,ART_0564,Life Fill,2015,2017-09-11,Hip-Hop,,Studio,8,0.06
ALB_0043,ART_0508,Universal Attitude-Oriented Hardware,2016,2025-09-16,Pop,,Live,16,0.091
ALB_0044,ART_0045,World Reality,2019,2022-08-07,Country,Classical,Studio,14,0.06
ALB_0045,ART_0013,World Measure,2016,2020-01-12,Indie,,Live,12,0.076
ALB_0046,ART_0339,Public-Key Encompassing Open Architecture,2002,2019-08-20,Rock,Country,Studio,12,0.095
ALB_0047,ART_0489,Devolved Bi-Directional Pricing Structure,2015,2023-12-27,Pop,R&B,Studio,8,0.057
ALB_0048,ART_0381,Wave Education,2015,2019-07-02,Electronic,Hip-Hop,Studio,10,0.08
ALB_0049,ART_0483,Time Relationship,2007,2024-09-15,Metal,,Studio,16,0.062
ALB_0050,ART_0289,Face-To-Face Scalable Emulation,2023,2025-05-15,Indie,,Studio,14,0.243
ALB_0051,ART_0046,Light Job,2011,2017-08-11,Pop,,EP,12,0.073
ALB_0052,ART_0202,Time Marriage,2019,2021-10-26,Indie,R&B,Studio,8,0.115
ALB_0053,ART_0052,Visionary Client-Driven Ability,2023,2026-04-14,Pop,,Studio,12,0.078
ALB_0054,ART_0585,Time Woman,2022,2024-08-19,Country,,EP,14,0.055
ALB_0055,ART_0219,Streamlined Methodical Matrices,2023,2025-12-20,Pop,Classical,Studio,12,0.086
ALB_0056,ART_0684,Time Something,2021,2026-03-18,R&B,Pop,Live,12,0.215
ALB_0057,ART_0623,Light Full,2021,2024-03-04,Pop,Rock,Studio,8,0.083
ALB_0058,ART_0067,Midnight Artist,2003,2024-05-20,Jazz,,Studio,12,0.118
ALB_0059,ART_0405,Cross-Group Solution-Oriented Orchestration,1993,2002-07-08,Pop,,Live,10,0.145
ALB_0060,ART_0638,User-Centric Uniform Alliance,2014,2025-06-14,Electronic,,Studio,8,0.061
ALB_0061,ART_0296,Enhanced Intangible Conglomeration,2012,2025-07-11,Metal,,Live,14,0.061
ALB_0062,ART_0447,Life Although,2005,2026-04-07,R&B,Country,Studio,8,0.084
ALB_0063,ART_0697,Object-Based Zero Tolerance Methodology,2024,2026-04-27,Hip-Hop,Country,Studio,10,0.069
ALB_0064,ART_0047,Time Smile,2022,2026-03-30,Country,,Studio,10,0.125
ALB_0065,ART_0655,Implemented 5Thgeneration Access,2020,2023-07-06,Classical,Hip-Hop,Live,12,0.155
